[2025-07-27T20:13:10.104+0000] {drift_monitoring.py:90} WARNING - ⚠️ Données manquantes pour 2025-07-15 21 — On continue
[2025-07-27T20:13:10.115+0000] {drift_monitoring.py:90} WARNING - ⚠️ Données manquantes pour 2025-07-15 20 — On continue
[2025-07-27T20:13:10.128+0000] {drift_monitoring.py:90} WARNING - ⚠️ Données manquantes pour 2025-07-15 19 — On continue
[2025-07-27T20:13:10.142+0000] {drift_monitoring.py:90} WARNING - ⚠️ Données manquantes pour 2025-07-15 18 — On continue
[2025-07-27T20:13:10.156+0000] {drift_monitoring.py:90} WARNING - ⚠️ Données manquantes pour 2025-07-15 17 — On continue
[2025-07-27T20:13:10.170+0000] {drift_monitoring.py:90} WARNING - ⚠️ Données manquantes pour 2025-07-15 16 — On continue
[2025-07-27T20:13:10.183+0000] {drift_monitoring.py:90} WARNING - ⚠️ Données manquantes pour 2025-07-15 15 — On continue
[2025-07-27T20:13:10.198+0000] {drift_monitoring.py:90} WARNING - ⚠️ Données manquantes pour 2025-07-15 14 — On continue
[2025-07-27T20:13:10.211+0000] {drift_monitoring.py:90} WARNING - ⚠️ Données manquantes pour 2025-07-15 13 — On continue
[2025-07-27T20:13:10.223+0000] {drift_monitoring.py:90} WARNING - ⚠️ Données manquantes pour 2025-07-15 12 — On continue
[2025-07-27T20:13:10.235+0000] {drift_monitoring.py:90} WARNING - ⚠️ Données manquantes pour 2025-07-15 11 — On continue
[2025-07-27T20:13:10.246+0000] {drift_monitoring.py:90} WARNING - ⚠️ Données manquantes pour 2025-07-15 10 — On continue
[2025-07-27T20:13:10.256+0000] {drift_monitoring.py:90} WARNING - ⚠️ Données manquantes pour 2025-07-15 09 — On continue
[2025-07-27T20:13:10.267+0000] {drift_monitoring.py:90} WARNING - ⚠️ Données manquantes pour 2025-07-15 08 — On continue
[2025-07-27T20:13:10.278+0000] {drift_monitoring.py:90} WARNING - ⚠️ Données manquantes pour 2025-07-15 07 — On continue
[2025-07-27T20:13:10.288+0000] {drift_monitoring.py:90} WARNING - ⚠️ Données manquantes pour 2025-07-15 06 — On continue
[2025-07-27T20:13:10.299+0000] {drift_monitoring.py:90} WARNING - ⚠️ Données manquantes pour 2025-07-15 05 — On continue
[2025-07-27T20:13:10.310+0000] {drift_monitoring.py:90} WARNING - ⚠️ Données manquantes pour 2025-07-15 04 — On continue
[2025-07-27T20:13:10.320+0000] {drift_monitoring.py:90} WARNING - ⚠️ Données manquantes pour 2025-07-15 03 — On continue
[2025-07-27T20:13:10.330+0000] {drift_monitoring.py:90} WARNING - ⚠️ Données manquantes pour 2025-07-15 02 — On continue
[2025-07-27T20:13:10.340+0000] {drift_monitoring.py:90} WARNING - ⚠️ Données manquantes pour 2025-07-15 01 — On continue
[2025-07-27T20:13:10.350+0000] {drift_monitoring.py:90} WARNING - ⚠️ Données manquantes pour 2025-07-15 00 — On continue
[2025-07-27T20:13:10.360+0000] {drift_monitoring.py:90} WARNING - ⚠️ Données manquantes pour 2025-07-14 23 — On continue
[2025-07-27T20:13:10.371+0000] {drift_monitoring.py:90} WARNING - ⚠️ Données manquantes pour 2025-07-14 22 — On continue
[2025-07-27T20:13:10.380+0000] {drift_monitoring.py:90} WARNING - ⚠️ Données manquantes pour 2025-07-14 21 — On continue
[2025-07-27T20:13:10.390+0000] {drift_monitoring.py:90} WARNING - ⚠️ Données manquantes pour 2025-07-14 20 — On continue
[2025-07-27T20:13:10.399+0000] {drift_monitoring.py:90} WARNING - ⚠️ Données manquantes pour 2025-07-14 19 — On continue
[2025-07-27T20:13:10.410+0000] {drift_monitoring.py:90} WARNING - ⚠️ Données manquantes pour 2025-07-14 18 — On continue
[2025-07-27T20:13:10.420+0000] {drift_monitoring.py:90} WARNING - ⚠️ Données manquantes pour 2025-07-14 17 — On continue
[2025-07-27T20:13:10.430+0000] {drift_monitoring.py:90} WARNING - ⚠️ Données manquantes pour 2025-07-14 16 — On continue
[2025-07-27T20:13:10.440+0000] {drift_monitoring.py:90} WARNING - ⚠️ Données manquantes pour 2025-07-14 15 — On continue
[2025-07-27T20:13:10.449+0000] {drift_monitoring.py:90} WARNING - ⚠️ Données manquantes pour 2025-07-14 14 — On continue
[2025-07-27T20:13:10.460+0000] {drift_monitoring.py:90} WARNING - ⚠️ Données manquantes pour 2025-07-14 13 — On continue
[2025-07-27T20:13:10.470+0000] {drift_monitoring.py:90} WARNING - ⚠️ Données manquantes pour 2025-07-14 12 — On continue
[2025-07-27T20:13:10.479+0000] {drift_monitoring.py:90} WARNING - ⚠️ Données manquantes pour 2025-07-14 11 — On continue
[2025-07-27T20:13:10.489+0000] {drift_monitoring.py:90} WARNING - ⚠️ Données manquantes pour 2025-07-14 10 — On continue
[2025-07-27T20:13:10.498+0000] {drift_monitoring.py:90} WARNING - ⚠️ Données manquantes pour 2025-07-14 09 — On continue
[2025-07-27T20:13:10.509+0000] {drift_monitoring.py:90} WARNING - ⚠️ Données manquantes pour 2025-07-14 08 — On continue
[2025-07-27T20:13:10.519+0000] {drift_monitoring.py:90} WARNING - ⚠️ Données manquantes pour 2025-07-14 07 — On continue
[2025-07-27T20:13:10.528+0000] {drift_monitoring.py:90} WARNING - ⚠️ Données manquantes pour 2025-07-14 06 — On continue
[2025-07-27T20:13:10.538+0000] {drift_monitoring.py:90} WARNING - ⚠️ Données manquantes pour 2025-07-14 05 — On continue
[2025-07-27T20:13:10.548+0000] {drift_monitoring.py:90} WARNING - ⚠️ Données manquantes pour 2025-07-14 04 — On continue
[2025-07-27T20:13:10.557+0000] {drift_monitoring.py:90} WARNING - ⚠️ Données manquantes pour 2025-07-14 03 — On continue
[2025-07-27T20:13:10.567+0000] {drift_monitoring.py:90} WARNING - ⚠️ Données manquantes pour 2025-07-14 02 — On continue
[2025-07-27T20:13:10.576+0000] {drift_monitoring.py:90} WARNING - ⚠️ Données manquantes pour 2025-07-14 01 — On continue
[2025-07-27T20:13:10.587+0000] {drift_monitoring.py:90} WARNING - ⚠️ Données manquantes pour 2025-07-14 00 — On continue
[2025-07-27T20:13:10.596+0000] {drift_monitoring.py:90} WARNING - ⚠️ Données manquantes pour 2025-07-13 23 — On continue
[2025-07-27T20:13:10.605+0000] {drift_monitoring.py:90} WARNING - ⚠️ Données manquantes pour 2025-07-13 22 — On continue
[2025-07-27T20:13:10.615+0000] {drift_monitoring.py:90} WARNING - ⚠️ Données manquantes pour 2025-07-13 21 — On continue
[2025-07-27T20:13:10.626+0000] {drift_monitoring.py:90} WARNING - ⚠️ Données manquantes pour 2025-07-13 20 — On continue
[2025-07-27T20:13:10.637+0000] {drift_monitoring.py:90} WARNING - ⚠️ Données manquantes pour 2025-07-13 19 — On continue
[2025-07-27T20:13:10.646+0000] {drift_monitoring.py:90} WARNING - ⚠️ Données manquantes pour 2025-07-13 18 — On continue
[2025-07-27T20:13:10.656+0000] {drift_monitoring.py:90} WARNING - ⚠️ Données manquantes pour 2025-07-13 17 — On continue
[2025-07-27T20:13:10.681+0000] {drift_monitoring.py:90} WARNING - ⚠️ Données manquantes pour 2025-07-13 16 — On continue
[2025-07-27T20:13:10.691+0000] {drift_monitoring.py:90} WARNING - ⚠️ Données manquantes pour 2025-07-13 15 — On continue
[2025-07-27T20:13:10.702+0000] {drift_monitoring.py:90} WARNING - ⚠️ Données manquantes pour 2025-07-13 14 — On continue
[2025-07-27T20:13:10.712+0000] {drift_monitoring.py:90} WARNING - ⚠️ Données manquantes pour 2025-07-13 13 — On continue
[2025-07-27T20:13:10.722+0000] {drift_monitoring.py:90} WARNING - ⚠️ Données manquantes pour 2025-07-13 12 — On continue
[2025-07-27T20:13:10.734+0000] {drift_monitoring.py:90} WARNING - ⚠️ Données manquantes pour 2025-07-13 11 — On continue
[2025-07-27T20:13:10.745+0000] {drift_monitoring.py:90} WARNING - ⚠️ Données manquantes pour 2025-07-13 10 — On continue
[2025-07-27T20:13:10.755+0000] {drift_monitoring.py:90} WARNING - ⚠️ Données manquantes pour 2025-07-13 09 — On continue
[2025-07-27T20:13:10.765+0000] {drift_monitoring.py:90} WARNING - ⚠️ Données manquantes pour 2025-07-13 08 — On continue
[2025-07-27T20:13:10.776+0000] {drift_monitoring.py:90} WARNING - ⚠️ Données manquantes pour 2025-07-13 07 — On continue
[2025-07-27T20:13:10.787+0000] {drift_monitoring.py:90} WARNING - ⚠️ Données manquantes pour 2025-07-13 06 — On continue
[2025-07-27T20:13:10.798+0000] {drift_monitoring.py:90} WARNING - ⚠️ Données manquantes pour 2025-07-13 05 — On continue
[2025-07-27T20:13:10.808+0000] {drift_monitoring.py:90} WARNING - ⚠️ Données manquantes pour 2025-07-13 04 — On continue
[2025-07-27T20:13:10.819+0000] {drift_monitoring.py:90} WARNING - ⚠️ Données manquantes pour 2025-07-13 03 — On continue
[2025-07-27T20:13:10.829+0000] {drift_monitoring.py:90} WARNING - ⚠️ Données manquantes pour 2025-07-13 02 — On continue
[2025-07-27T20:13:10.841+0000] {drift_monitoring.py:90} WARNING - ⚠️ Données manquantes pour 2025-07-13 01 — On continue
[2025-07-27T20:13:10.851+0000] {drift_monitoring.py:90} WARNING - ⚠️ Données manquantes pour 2025-07-13 00 — On continue
[2025-07-27T20:13:10.861+0000] {drift_monitoring.py:90} WARNING - ⚠️ Données manquantes pour 2025-07-12 23 — On continue
[2025-07-27T20:13:10.862+0000] {drift_monitoring.py:109} WARNING - ⚠️ Pas de données suffisantes pour calculer le drift !
[2025-07-27T20:13:10.863+0000] {python.py:237} INFO - Done. Returned value was: None
[2025-07-27T20:13:10.864+0000] {taskinstance.py:441} INFO - ::group::Post task execution logs
[2025-07-27T20:13:10.877+0000] {taskinstance.py:1205} INFO - Marking task as SUCCESS. dag_id=data_drift_monitoring, task_id=check_drift, execution_date=20250720T000000, start_date=20250727T201306, end_date=20250727T201310
[2025-07-27T20:13:10.997+0000] {local_task_job_runner.py:240} INFO - Task exited with return code 0
[2025-07-27T20:13:11.017+0000] {taskinstance.py:3482} INFO - 0 downstream tasks scheduled from follow-on schedule check
[2025-07-27T20:13:11.051+0000] {local_task_job_runner.py:222} INFO - ::endgroup::
